school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
3422,3422,The Philadelphia Charter School for Arts and Sciences,Judith Taggart,Charter,Charters,Charters,District 7,K-8,Catchment,High School,921,994.0,0.1,0.5,46.4,42.0,8.9,0.3,1.7,35.8,11.8,93.3,,,53.3,73.5,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3422%5D_SP_SPREE_SPOTlight.pdf
3424,3424,Universal Charter School at Alcorn,Penny Nixon,Charter,Charters,Charters,District 2,K-8,Catchment,High School,412,457.0,0.5,3.2,85.7,5.8,2.7,0.0,2.2,23.8,5.6,100.0,,,37.6,67.6,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3424%5D_SP_SPREE_SPOTlight.pdf
3426,3426,Mastery Charter School at Pastorius,Ashley Anderson,Charter,Charters,Charters,District 8,K-8,Catchment,High School,647,686.0,1.2,0.0,86.7,7.1,3.9,0.5,0.6,27.4,0.5,96.1,,,40.5,70.4,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3426%5D_SP_SPREE_SPOTlight.pdf
3427,3427,Mastery Charter School at Wister,Joel Boyd,Charter,Charters,Charters,District 8,K-5,Catchment,High School,496,568.0,0.2,0.0,91.5,5.0,2.8,0.0,0.4,25.8,0.4,99.8,,,38.0,71.0,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3427%5D_SP_SPREE_SPOTlight.pdf
3428,3428,Global Leadership Academy Charter School Southwest at Huey,"Tamika Evans
Sector Charter",Charter,Charters,Charters,District 3,K-8,Catchment,High School,599,620.0,0.0,0.2,94.3,2.7,2.7,0.0,0.2,20.4,0.8,100.0,51.9,,27.7,51.9,0.0,,,,,8.7,17.8,10.9,5.2,32.8,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3428%5D_SP_SPREE_SPOTlight.pdf
3436,3436,KIPP Octavius Catto Charter School,,Charter,Charters,Charters,District 3,K-2,Citywide,High School,301,314.0,0.0,1.7,86.4,5.3,4.7,0.0,2.0,14.3,0.0,87.4,,,22.6,55.7,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3436%5D_SP_SPREE_SPOTlight.pdf
3437,3437,KIPP North Philadelphia Charter School,Susanna Tagoe,Charter,Charters,Charters,District 5,K-6,Citywide,High School,671,713.0,0.2,0.2,92.7,2.5,4.3,0.0,0.2,27.4,0.3,91.7,,,18.2,45.6,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3437%5D_SP_SPREE_SPOTlight.pdf
3438,3438,Deep Roots Charter School,"Lucilla Perry
Sector Charter",Charter,Charters,Charters,District 6,K-5,Citywide,High School,300,328.0,0.0,0.0,42.3,35.0,14.0,0.0,8.7,35.3,4.3,90.0,48.2,,22.9,48.2,23.0,,,,,21.6,24.2,11.4,14.0,43.2,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3438%5D_SP_SPREE_SPOTlight.pdf
3439,3439,Mastery Prep Elementary Charter School,Joel Boyd,Charter,Charters,Charters,District 8,K-6,Citywide,High School,595,622.0,0.0,0.3,85.7,10.1,3.4,0.2,0.3,22.4,1.7,98.8,,,42.8,72.5,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3439%5D_SP_SPREE_SPOTlight.pdf
3440,3440,MaST Community Charter School II,"Whitney El Laisy
Sector Charter",Charter,Charters,Charters,District 6,K-12,Citywide,High School,1900,,0.1,14.2,29.3,22.8,5.8,0.1,27.9,,3.9,66.1,82.4,,48.5,82.4,2.0,100.0,4.0,4.0,4.0,48.5,47.2,42.4,29.6,67.6,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3440%5D_SP_SPREE_SPOTlight.pdf
